,idx,name,score
7,7,coworkers_experience,0.13703190144206126
82,82,OHE_mh_family_history_Yes,0.1251463024042989
9,9,prev_supervisor_experience,0.05032865741380266
25,25,OHE_care_options_No,0.04699905736359682
26,26,OHE_care_options_Yes,0.04387975755443813
88,88,OHE_race_new_white,0.02677114235648459
10,10,prev_coworkers_experience,0.02498849663232764
84,84,OHE_mh_family_history_I don't know,0.023890299878119612
0,0,age,0.023549247095256395
55,55,OHE_prev_care_options_I was aware of some,0.02278383219522504
16,16,OHE_num_employees_More than 1000,0.02193657100745491
12,12,OHE_country_live_outside_US,0.01999654185441844
89,89,OHE_race_new_no_answer,0.0197766937660959
8,8,supervisor_experience,0.018915362988128397
3,3,prev_phys_health_importance,0.018083610247152722
50,50,OHE_coworkers_willingness_No,0.017783485266891153
56,56,OHE_prev_care_options_N/A (was not aware),0.017055226564256974
1,1,phys_health_importance,0.01641904830112017
57,57,"OHE_prev_care_options_Yes, I was aware of all of them",0.015511458177933013
83,83,OHE_mh_family_history_No,0.015268049013862995
22,22,OHE_benefits_I don't know,0.0116909614918352
37,37,OHE_leave_difficulty_Very easy,0.011469336406535465
4,4,prev_mental_health_importance,0.011449800957672947
17,17,OHE_num_employees_26-100,0.010550649358718345
18,18,OHE_num_employees_6-25,0.01030763321851049
11,11,OHE_country_live_US,0.010096306697308263
2,2,mental_health_importance,0.009501218683818605
47,47,OHE_supervisor_willingness_No,0.008582948985495439
91,91,OHE_age_bucket_Young,0.00842414309837492
77,77,OHE_prev_supervisor_willingness_I don't know,0.007996542174007361
78,78,OHE_prev_coworkers_willingness_At some of my previous employers,0.007891526195300785
52,52,OHE_prev_benefits_I don't know,0.007889502438127435
31,31,OHE_seek_help_resources_Yes,0.007878389476306997
38,38,OHE_leave_difficulty_I don't know,0.007515048062909102
72,72,OHE_prev_phys_vs_mental_Same level of comfort for each,0.007379350873709052
24,24,OHE_benefits_Not eligible for coverage / NA,0.007352393731308635
65,65,OHE_prev_seek_help_resources_Some did,0.007319694191902823
41,41,OHE_leave_difficulty_Difficult,0.006935349578803797
76,76,"OHE_prev_supervisor_willingness_Yes, all of my previous supervisors",0.006684700459634185
27,27,OHE_wellness_program_No,0.006665330445022077
54,54,"OHE_prev_benefits_Yes, they all did",0.006662355048018343
86,86,OHE_gender_new_female,0.006403654304454087
80,80,OHE_prev_coworkers_willingness_Some of my previous employers,0.0061136997442902425
81,81,"OHE_prev_coworkers_willingness_Yes, at all of my previous employers",0.006068856560090456
39,39,OHE_leave_difficulty_Neither easy nor difficult,0.005971503413236245
29,29,OHE_wellness_program_I don't know,0.0055942797410019045
35,35,OHE_anonymity_No,0.005094677546017902
43,43,OHE_phys_vs_mental_Same level of comfort for each,0.004656227270870403
46,46,OHE_supervisor_willingness_Maybe,0.0046173072998813335
49,49,OHE_coworkers_willingness_Yes,0.004586353850536252
71,71,OHE_prev_phys_vs_mental_Physical health,0.004372371437621966
33,33,OHE_anonymity_I don't know,0.004237887406960935
75,75,"OHE_prev_supervisor_willingness_No, none of my previous supervisors",0.004224258806291974
60,60,OHE_prev_wellness_program_None did,0.004111756399199253
92,92,OHE_age_bucket_Middle_age,0.003962171416544801
69,69,OHE_prev_anonymity_Sometimes,0.003563667476138234
67,67,OHE_prev_anonymity_I don't know,0.0034351971923945817
30,30,OHE_seek_help_resources_No,0.00342073762422505
61,61,OHE_prev_wellness_program_Some did,0.0030825921881568303
19,19,OHE_num_employees_500-1000,0.0030357409946386153
48,48,OHE_coworkers_willingness_Maybe,0.0027326202272285795
85,85,OHE_gender_new_male,0.0025388886735903853
34,34,OHE_anonymity_Yes,0.002126453658990383
32,32,OHE_seek_help_resources_I don't know,0.001971118586583272
51,51,OHE_prev_benefits_Some did,0.0019042603883711827
5,5,remote_work,0.0018886489775485887
23,23,OHE_benefits_No,0.0018843793730539584
21,21,OHE_benefits_Yes,0.0017195626207826323
45,45,OHE_supervisor_willingness_Yes,0.001714788457820057
62,62,OHE_prev_wellness_program_I don't know,0.0016827659320094574
15,15,OHE_num_employees_100-500,0.0016213174678885566
64,64,OHE_prev_seek_help_resources_None did,0.0014416917584396702
42,42,OHE_phys_vs_mental_Physical health,0.0013207238055149338
74,74,OHE_prev_supervisor_willingness_Some of my previous supervisors,0.0010911786780256854
59,59,"OHE_prev_care_options_No, I only became aware later",0.0007526905983115958
36,36,OHE_leave_difficulty_Somewhat easy,0.0006980470270440285
14,14,OHE_country_work_outside_US,0.0
6,6,prev_employer,0.0
90,90,OHE_race_new_Others,0.0
87,87,OHE_gender_new_non-binary,0.0
13,13,OHE_country_work_US,0.0
28,28,OHE_wellness_program_Yes,0.0
79,79,"OHE_prev_coworkers_willingness_No, at none of my previous employers",0.0
73,73,OHE_prev_phys_vs_mental_Mental health,0.0
70,70,OHE_prev_anonymity_No,0.0
68,68,"OHE_prev_anonymity_Yes, always",0.0
66,66,"OHE_prev_seek_help_resources_Yes, they all did",0.0
63,63,"OHE_prev_wellness_program_Yes, they all did",0.0
58,58,OHE_prev_care_options_N/A (none offered),0.0
20,20,OHE_num_employees_1-5,0.0
53,53,"OHE_prev_benefits_No, none did",0.0
44,44,OHE_phys_vs_mental_Mental health,0.0
40,40,OHE_leave_difficulty_Somewhat difficult,0.0
93,93,OHE_age_bucket_Older,0.0
